anime,date,score
对话的维度,1982,7.9
兽娘动物园,2017年1月10日,7.8
剧场版 空之境界 第四章 伽蓝之洞,2008年5月24日,7.7
在这世界(更多一些)的角落,2019年12月20日,7.8
猎人 OVA3 贪婪大陆 最终季,2004年2月18日,7.8
圣母在上 春,2004年7月7日,7.8
热带雨林的爆笑生活DELUXE,2002年8月25日,7.8
马男波杰克,2014年8月22日,7.8
最终流放,2003年4月7日,7.8
降世神通：最后的气宗 第一季,2005年2月21日,7.8
魔法少女奈叶A's,2005年10月1日,7.8
拥抱！光之美少女,2018年2月4日,7.8
热带雨林的爆笑生活FINAL,2003年12月21日,7.8
放浪男孩,2011年1月13日,7.7
Fate/Grand Order Memorial Movie 2023,2023年7月30日,7.8
心理测量者 新编集版,2014年7月10日,7.8
Kanon,2006年10月5日,7.7
少女与战车 最终章 第2话,2019年6月15日,7.8
狱・再见绝望先生,2008年10月17日,7.7
黑礁 Roberta’s Blood Trail,2010年7月17日,7.7
花园墙外,2014年11月3日,7.9
佐贺偶像是传奇 复仇,2021年4月8日,7.7
圣母在上,2004年1月7日,7.8
异种族风俗娘评鉴指南,2020年1月11日,7.7
东方活动写真馆,2009年4月26日,7.8
爱、死亡 & 机器人,2019年3月15日,7.7
小马宝莉：友谊就是魔法 第五季,2015年4月4日,7.8
马男波杰克5,2018年9月14日,7.9
银河铁道999,1978年9月14日,7.9
罗小黑战记,2019年9月7日,7.7
终物语,2015年10月3日,7.7
超时空要塞Plus 剧场版,1995年10月7日,7.8
×××HOLiC・笼 徒梦,2011年3月9日,7.7
南方公园 第14季,2010年3月17日,7.9
金田一少年事件簿,1997年4月7日,7.8
斗牌传说,2005年10月4日,7.7
凡尔赛玫瑰,1979年10月10日,7.8
哪吒闹海,1979年5月19日,7.7
蜡笔小新 呼风唤雨！战国大合战,2002年4月20日,7.7
平成狸合战,1994年7月16日,7.7
马男波杰克6 下,2020年1月31日,8.0
魔法之星爱美 蝉时雨,1986年9月28日,7.8
数码宝贝大冒险 我们的战争游戏!,2000年3月4日,7.7
蝙蝠侠：黑暗骑士归来（下）,2013-01-29,7.8
元气囝仔,2014年7月5日,7.7
向山进发 第三季,2018年7月2日,7.7
电影 Star☆Twinkle 光之美少女 满怀思念的星之歌,2019年10月19日,7.8
悲伤的贝拉多娜,1973年6月30日,7.8
查理布朗和史努比,1983年9月17日,7.8
橙路 再回到往日,1988年10月8日,7.8
向阳素描×365,2008年7月3日,7.7
九色鹿,1981年,7.7
画江湖之不良人 第六季,2023年3月2日,7.8
漂流少年,2021年7月15日,7.7
小马宝莉：友谊就是魔法 第三季,2012年11月10日,7.8
圣斗士星矢 冥王十二宫编,2003年1月25日,7.7
交响情人梦 巴黎篇,2008年10月9日,7.7
空中杀手,2008年8月2日,7.7
大～集合！小魔女DoReMi,2001年2月4日,7.8
真盖塔 世界最后之日,1998年8月25日,7.7
摇滚新乐团,2004年10月6日,7.7
